--- Dataset ---

dataset_neighbourhood_sample=0.01
dataset_neighbourhood_min_nodes=8
dataset_max_distance=500

--- Model ---

gnnuf_model_v0-4

GAE(
  (encoder): VanillaGCNEncoder(
    (en_conv1): GCNConv(1, 64)
    (en_conv2): GCNConv(64, 64)
    (en_linear_out): Linear(in_features=64, out_features=2, bias=True)
  )
  (decoder): InnerProductDecoder()
)

--- Training ---

Epoch 112, average loss over 276 batches: 1.316680066395497
Epoch 113, average loss over 276 batches: 1.3160937843115434
Epoch 114, average loss over 276 batches: 1.3165893347366997
Epoch 115, average loss over 276 batches: 1.315993511590405
Epoch 116, average loss over 276 batches: 1.3164307894050211
Epoch 117, average loss over 276 batches: 1.316136123045631
Epoch 118, average loss over 276 batches: 1.3159818614738574
Epoch 119, average loss over 276 batches: 1.315888616485872
Epoch 120, average loss over 276 batches: 1.3154864164366238
Epoch 121, average loss over 276 batches: 1.3158165760662244
Epoch 122, average loss over 276 batches: 1.3155804781810096
Epoch 123, average loss over 276 batches: 1.3157514718131742
Epoch 124, average loss over 276 batches: 1.314851844224377
Epoch 125, average loss over 276 batches: 1.3150499501953954
Epoch 126, average loss over 276 batches: 1.314215934794882
Epoch 127, average loss over 276 batches: 1.3145989512187848
Epoch 128, average loss over 276 batches: 1.314256209826124
Epoch 129, average loss over 276 batches: 1.3146797142167022
Epoch 130, average loss over 276 batches: 1.3146244887856469
Epoch 131, average loss over 276 batches: 1.3143175119075223
Epoch 132, average loss over 276 batches: 1.3134460725646089
Epoch 133, average loss over 276 batches: 1.3137620246928672
Epoch 134, average loss over 276 batches: 1.3141383351623148
Epoch 135, average loss over 276 batches: 1.313260260267534
Epoch 136, average loss over 276 batches: 1.3137995872808539
Epoch 137, average loss over 276 batches: 1.3134935489599255
Epoch 138, average loss over 276 batches: 1.3136330950951232
Epoch 139, average loss over 276 batches: 1.3129084213920261
Epoch 140, average loss over 276 batches: 1.3132104113482046
Epoch 141, average loss over 276 batches: 1.3128856256388235
Epoch 142, average loss over 276 batches: 1.3132603142572485
Epoch 143, average loss over 276 batches: 1.3128239914127018
Epoch 144, average loss over 276 batches: 1.3129776893318563
Epoch 145, average loss over 276 batches: 1.3124110189037046
Epoch 146, average loss over 276 batches: 1.3118952517060265
Epoch 147, average loss over 276 batches: 1.3121416322563006
Epoch 148, average loss over 276 batches: 1.3120995816113292
Epoch 149, average loss over 276 batches: 1.3118374948052391
Epoch 150, average loss over 276 batches: 1.3124260047207708
Epoch 151, average loss over 276 batches: 1.311419214459433
Epoch 152, average loss over 276 batches: 1.311434803665548
Epoch 153, average loss over 276 batches: 1.3116442487723585
Epoch 154, average loss over 276 batches: 1.311320367930592
Epoch 155, average loss over 276 batches: 1.3113396172074303
Epoch 156, average loss over 276 batches: 1.3112843485846035
Epoch 157, average loss over 276 batches: 1.3120183841041897
Epoch 158, average loss over 276 batches: 1.3111526888349783
Epoch 159, average loss over 276 batches: 1.3109509763510332
Epoch 160, average loss over 276 batches: 1.3109173791995947
Epoch 161, average loss over 276 batches: 1.3105110154635664
Epoch 162, average loss over 276 batches: 1.3104922244514243
Epoch 163, average loss over 276 batches: 1.310376909331999
Epoch 164, average loss over 276 batches: 1.31006101594455
Epoch 165, average loss over 276 batches: 1.3099340537320012
Epoch 166, average loss over 276 batches: 1.3098946529022162
Epoch 167, average loss over 276 batches: 1.3095434960247814
Epoch 168, average loss over 276 batches: 1.3097997100456902
Epoch 169, average loss over 276 batches: 1.3100248812765316
Epoch 170, average loss over 276 batches: 1.3095663578613945
Epoch 171, average loss over 276 batches: 1.3093890249729156
Epoch 172, average loss over 276 batches: 1.3098427160926487
Epoch 173, average loss over 276 batches: 1.3088639952998231
Epoch 174, average loss over 276 batches: 1.309535790612732
Epoch 175, average loss over 276 batches: 1.3094278379626896
Epoch 176, average loss over 276 batches: 1.3091733935086622
Epoch 177, average loss over 276 batches: 1.3088208847287772
Epoch 178, average loss over 276 batches: 1.309282294218091
Epoch 179, average loss over 276 batches: 1.3090886715529622
Epoch 180, average loss over 276 batches: 1.3084953306377798
Epoch 181, average loss over 276 batches: 1.3087320789910746
Epoch 182, average loss over 276 batches: 1.3089184165000916
Epoch 183, average loss over 276 batches: 1.3078608115514119
Epoch 184, average loss over 276 batches: 1.3081828126872794
Epoch 185, average loss over 276 batches: 1.3080388657424762
Epoch 186, average loss over 276 batches: 1.3078390135281328
Epoch 187, average loss over 276 batches: 1.30777837789577
Epoch 188, average loss over 276 batches: 1.3081043474916099
Epoch 189, average loss over 276 batches: 1.307685723339302
Epoch 190, average loss over 276 batches: 1.30740644707196
Epoch 191, average loss over 276 batches: 1.3075764524763909
Epoch 192, average loss over 276 batches: 1.3071299579696378
Epoch 193, average loss over 276 batches: 1.306394984324773
Epoch 194, average loss over 276 batches: 1.3068131873573081
Epoch 195, average loss over 276 batches: 1.3069442877734916
Epoch 196, average loss over 276 batches: 1.306906591291013
Epoch 197, average loss over 276 batches: 1.3062882505465245
Epoch 198, average loss over 276 batches: 1.3056296736433886
Epoch 199, average loss over 276 batches: 1.3057506041250366
Epoch 200, average loss over 276 batches: 1.3059416611989338
Epoch 201, average loss over 276 batches: 1.3055471531722858
Epoch 202, average loss over 276 batches: 1.3051933076070703
Epoch 203, average loss over 276 batches: 1.3049091407354327
Epoch 204, average loss over 276 batches: 1.3048640031745469
Epoch 205, average loss over 276 batches: 1.3036379960999973
Epoch 206, average loss over 276 batches: 1.3041066151598226
Epoch 207, average loss over 276 batches: 1.304372130960658
Epoch 208, average loss over 276 batches: 1.3040918820146201
Epoch 209, average loss over 276 batches: 1.3032367734805397
Epoch 210, average loss over 276 batches: 1.3036213970702628
Epoch 211, average loss over 276 batches: 1.3031813212926837
Epoch 212, average loss over 276 batches: 1.3028409554474596
Epoch 213, average loss over 276 batches: 1.3026455321173738
Epoch 214, average loss over 276 batches: 1.301611638587454
Epoch 215, average loss over 276 batches: 1.3018703015818112
Epoch 216, average loss over 276 batches: 1.3020802740601525
Epoch 217, average loss over 276 batches: 1.3013916145200315
Epoch 218, average loss over 276 batches: 1.3009788860445437
Epoch 219, average loss over 276 batches: 1.300422311692998
Epoch 220, average loss over 276 batches: 1.300383073264274
Epoch 221, average loss over 276 batches: 1.3003337210503176
Epoch 222, average loss over 276 batches: 1.2997939383638077
Epoch 223, average loss over 276 batches: 1.2989607932774916
Epoch 224, average loss over 276 batches: 1.2993595263232356
Epoch 225, average loss over 276 batches: 1.2989670202352
Epoch 226, average loss over 276 batches: 1.2985871689043182
Epoch 227, average loss over 276 batches: 1.2985236035740895
Epoch 228, average loss over 276 batches: 1.297765431628711
Epoch 229, average loss over 276 batches: 1.2978521468846693
Epoch 230, average loss over 276 batches: 1.2980738770270692
Epoch 231, average loss over 276 batches: 1.2967308193877123
Epoch 232, average loss over 276 batches: 1.296972944252733
Epoch 233, average loss over 276 batches: 1.2964543359003204
Epoch 234, average loss over 276 batches: 1.2971641365168751
Epoch 235, average loss over 276 batches: 1.2958136883334836
Epoch 236, average loss over 276 batches: 1.2960113835507545
Epoch 237, average loss over 276 batches: 1.2957096562005472
Epoch 238, average loss over 276 batches: 1.2951033638007399
Epoch 239, average loss over 276 batches: 1.294566671917404
Epoch 240, average loss over 276 batches: 1.294359883968381
Epoch 241, average loss over 276 batches: 1.2944490412871044
Epoch 242, average loss over 276 batches: 1.2945368454076243
Epoch 243, average loss over 276 batches: 1.2940952877203624
Epoch 244, average loss over 276 batches: 1.2940734827863998
Epoch 245, average loss over 276 batches: 1.2937335803888845
Epoch 246, average loss over 276 batches: 1.2940986584062162
Epoch 247, average loss over 276 batches: 1.2932854946972667
Epoch 248, average loss over 276 batches: 1.2930543867574222
Epoch 249, average loss over 276 batches: 1.2921360476293426
Epoch 250, average loss over 276 batches: 1.2927737715451613
Epoch 251, average loss over 276 batches: 1.2915950883989749
Epoch 252, average loss over 276 batches: 1.2924094731393068
Epoch 253, average loss over 276 batches: 1.2918564236682395
Epoch 254, average loss over 276 batches: 1.2920400603957798
Epoch 255, average loss over 276 batches: 1.2912186721096868
Epoch 256, average loss over 276 batches: 1.2912056031434431
Epoch 257, average loss over 276 batches: 1.2904399158298105
Epoch 258, average loss over 276 batches: 1.2911986168743907
Epoch 259, average loss over 276 batches: 1.2911907905253812
Epoch 260, average loss over 276 batches: 1.2905384954335033
Epoch 261, average loss over 276 batches: 1.2902201232702837
Epoch 262, average loss over 276 batches: 1.2900284507136415
Epoch 263, average loss over 276 batches: 1.2901246336059293
Epoch 264, average loss over 276 batches: 1.289789405853852
Epoch 265, average loss over 276 batches: 1.2896577141423156
Epoch 266, average loss over 276 batches: 1.2891937178978021
Epoch 267, average loss over 276 batches: 1.289634246757065
Epoch 268, average loss over 276 batches: 1.2884381793547368
Epoch 269, average loss over 276 batches: 1.2889786794565725
Epoch 270, average loss over 276 batches: 1.289203004128691
Epoch 271, average loss over 276 batches: 1.2886749609656956
Epoch 272, average loss over 276 batches: 1.2880356981270555
Epoch 273, average loss over 276 batches: 1.288157453139623
Epoch 274, average loss over 276 batches: 1.2883689494236656
Epoch 275, average loss over 276 batches: 1.2880849393381588
Epoch 276, average loss over 276 batches: 1.2876718337985054
Epoch 277, average loss over 276 batches: 1.286998488764832
Epoch 278, average loss over 276 batches: 1.2879845124223959
Epoch 279, average loss over 276 batches: 1.2878950963849607
Epoch 280, average loss over 276 batches: 1.2873652491016665
Epoch 281, average loss over 276 batches: 1.2868071613104448
Epoch 282, average loss over 276 batches: 1.2865733253783074
Epoch 283, average loss over 276 batches: 1.2870758542979972
Epoch 284, average loss over 276 batches: 1.2863529143126116
Epoch 285, average loss over 276 batches: 1.2866093943948331
Epoch 286, average loss over 276 batches: 1.2868739815725796
Epoch 287, average loss over 276 batches: 1.2860504613406416
Epoch 288, average loss over 276 batches: 1.285804808139801
Epoch 289, average loss over 276 batches: 1.2861578978490138
Epoch 290, average loss over 276 batches: 1.285488891860713
Epoch 291, average loss over 276 batches: 1.2850499373415243
Epoch 292, average loss over 276 batches: 1.285271945638933
Epoch 293, average loss over 276 batches: 1.2852164511231408
Epoch 294, average loss over 276 batches: 1.2850803231847459
Epoch 295, average loss over 276 batches: 1.2851389957510906
Epoch 296, average loss over 276 batches: 1.2845775485038757
Epoch 297, average loss over 276 batches: 1.2845261995343193
Epoch 298, average loss over 276 batches: 1.284108659495478
Epoch 299, average loss over 276 batches: 1.283996337565823
Epoch 300, average loss over 276 batches: 1.2843255573424741
Epoch 301, average loss over 276 batches: 1.2839065872240758
Epoch 302, average loss over 276 batches: 1.2848635449789572
Epoch 303, average loss over 276 batches: 1.284691537203996
Epoch 304, average loss over 276 batches: 1.2836805772090303
Epoch 305, average loss over 276 batches: 1.283263655676358
Epoch 306, average loss over 276 batches: 1.2834481199582417
Epoch 307, average loss over 276 batches: 1.2834738022175387
Epoch 308, average loss over 276 batches: 1.2834710228270378
Epoch 309, average loss over 276 batches: 1.2834087726862535
Epoch 310, average loss over 276 batches: 1.2828283076700957
Epoch 311, average loss over 276 batches: 1.2826883779919667
Epoch 312, average loss over 276 batches: 1.283469262762346
Epoch 313, average loss over 276 batches: 1.2830167693504388
Epoch 314, average loss over 276 batches: 1.2831875003766322
Epoch 315, average loss over 276 batches: 1.2820335855518563
Epoch 316, average loss over 276 batches: 1.2830461704212686
Epoch 317, average loss over 276 batches: 1.2822945415973663
Epoch 318, average loss over 276 batches: 1.2825223954691403
Epoch 319, average loss over 276 batches: 1.2818867987480715
Epoch 320, average loss over 276 batches: 1.2814347433007283
Epoch 321, average loss over 276 batches: 1.28179339611012
Epoch 322, average loss over 276 batches: 1.2810552055421083
Epoch 323, average loss over 276 batches: 1.2814955724322277
Epoch 324, average loss over 276 batches: 1.2807696258676224
Epoch 325, average loss over 276 batches: 1.2812921309816665
Epoch 326, average loss over 276 batches: 1.281284550393837
Epoch 327, average loss over 276 batches: 1.2818069060643513
Epoch 328, average loss over 276 batches: 1.2805183840834575
Epoch 329, average loss over 276 batches: 1.2810280171857364
Epoch 330, average loss over 276 batches: 1.280830348747364
Epoch 331, average loss over 276 batches: 1.2807662823925847
Epoch 332, average loss over 276 batches: 1.2806678816028263
Epoch 333, average loss over 276 batches: 1.2805203626985135
Epoch 334, average loss over 276 batches: 1.2802265217338784
Epoch 335, average loss over 276 batches: 1.2800872844198476
Epoch 336, average loss over 276 batches: 1.2806725424268972
Epoch 337, average loss over 276 batches: 1.2800330929998038
Epoch 338, average loss over 276 batches: 1.2800607024759487
Epoch 339, average loss over 276 batches: 1.2795924587526184
Epoch 340, average loss over 276 batches: 1.2797001811905184
Epoch 341, average loss over 276 batches: 1.2798656350460604
Epoch 342, average loss over 276 batches: 1.2798210775506669
Epoch 343, average loss over 276 batches: 1.2788808034813923
Epoch 344, average loss over 276 batches: 1.2795356330664263
Epoch 345, average loss over 276 batches: 1.2792518328929292
Epoch 346, average loss over 276 batches: 1.2792402743429379
Epoch 347, average loss over 276 batches: 1.2800739912883095
Epoch 348, average loss over 276 batches: 1.2792097243709841
Epoch 349, average loss over 276 batches: 1.2788285094758738
Epoch 350, average loss over 276 batches: 1.2789468635683474
Epoch 351, average loss over 276 batches: 1.2781568493532098
Epoch 352, average loss over 276 batches: 1.2783607598664104
Epoch 353, average loss over 276 batches: 1.278846628855968
Epoch 354, average loss over 276 batches: 1.278790064048076
Epoch 355, average loss over 276 batches: 1.2785911637803782
Epoch 356, average loss over 276 batches: 1.2781528243120166
Epoch 357, average loss over 276 batches: 1.2782864536064258
Epoch 358, average loss over 276 batches: 1.2779465343641199
Epoch 359, average loss over 276 batches: 1.2783559660116832
Epoch 360, average loss over 276 batches: 1.2777897162713867
Epoch 361, average loss over 276 batches: 1.2779960718707761
Epoch 362, average loss over 276 batches: 1.2777397831281025
Epoch 363, average loss over 276 batches: 1.277976861466532
Epoch 364, average loss over 276 batches: 1.2776938149894492
Epoch 365, average loss over 276 batches: 1.277947471625563
Epoch 366, average loss over 276 batches: 1.2766093680824058
Epoch 367, average loss over 276 batches: 1.2774666888990265
Epoch 368, average loss over 276 batches: 1.2776425990505496
Epoch 369, average loss over 276 batches: 1.276966242686562
Epoch 370, average loss over 276 batches: 1.2772415271703748
Epoch 371, average loss over 276 batches: 1.2767125687737395
Epoch 372, average loss over 276 batches: 1.277374671853107
Epoch 373, average loss over 276 batches: 1.2763263863929803
Epoch 374, average loss over 276 batches: 1.2767376627611078
Epoch 375, average loss over 276 batches: 1.2772972307343413
Epoch 376, average loss over 276 batches: 1.2765789139961852
Epoch 377, average loss over 276 batches: 1.2774655615937882
Epoch 378, average loss over 276 batches: 1.2764335680699004
Epoch 379, average loss over 276 batches: 1.2762411171975343
Epoch 380, average loss over 276 batches: 1.276944049026655
Epoch 381, average loss over 276 batches: 1.276579701382181
Epoch 382, average loss over 276 batches: 1.2764363180899965
Epoch 383, average loss over 276 batches: 1.2756738762060802
Epoch 384, average loss over 276 batches: 1.2758892122386158
Epoch 385, average loss over 276 batches: 1.2758586786795354
Epoch 386, average loss over 276 batches: 1.275833144136097
Epoch 387, average loss over 276 batches: 1.276030089976131
Epoch 388, average loss over 276 batches: 1.276315730119097
Epoch 389, average loss over 276 batches: 1.2758081676303477
Epoch 390, average loss over 276 batches: 1.275506424299185
Epoch 391, average loss over 276 batches: 1.2755874058474665
Epoch 392, average loss over 276 batches: 1.2752109575962676
Epoch 393, average loss over 276 batches: 1.2757722057294154
Epoch 394, average loss over 276 batches: 1.2759734685870185
Epoch 395, average loss over 276 batches: 1.2757303291472837
Epoch 396, average loss over 276 batches: 1.2763738252114558
Epoch 397, average loss over 276 batches: 1.2753425313942675
Epoch 398, average loss over 276 batches: 1.2759536513383838
Epoch 399, average loss over 276 batches: 1.2758969776872275
Epoch 400, average loss over 276 batches: 1.2755593670451122
Epoch 401, average loss over 276 batches: 1.2751994798148887
Epoch 402, average loss over 276 batches: 1.2747370099675828
Epoch 403, average loss over 276 batches: 1.274658394464548
Epoch 404, average loss over 276 batches: 1.2752301157384678
Epoch 405, average loss over 276 batches: 1.2750295037808625
Epoch 406, average loss over 276 batches: 1.275481565275054
Epoch 407, average loss over 276 batches: 1.275322985821876
Epoch 408, average loss over 276 batches: 1.2744820554187333
Epoch 409, average loss over 276 batches: 1.2752224202605262
Epoch 410, average loss over 276 batches: 1.2741337569727413
Epoch 411, average loss over 276 batches: 1.2747939030329387
Epoch 412, average loss over 276 batches: 1.2744081780530405
Epoch 413, average loss over 276 batches: 1.2739113932070525
Epoch 414, average loss over 276 batches: 1.2741113188474074
Epoch 415, average loss over 276 batches: 1.2747607671696206
Epoch 416, average loss over 276 batches: 1.2746125023434127
Epoch 417, average loss over 276 batches: 1.2737975211247154
Epoch 418, average loss over 276 batches: 1.273890316054441
Epoch 419, average loss over 276 batches: 1.2735826165779778
Epoch 420, average loss over 276 batches: 1.2743376860584037
Epoch 421, average loss over 276 batches: 1.2733496367067532
Epoch 422, average loss over 276 batches: 1.2732604353324226
Epoch 423, average loss over 276 batches: 1.2740349730719691
Epoch 424, average loss over 276 batches: 1.2737232977929323
Epoch 425, average loss over 276 batches: 1.2741858237895414
Epoch 426, average loss over 276 batches: 1.2743250766526097
Epoch 427, average loss over 276 batches: 1.2732670415138854
Epoch 428, average loss over 276 batches: 1.2733898668185524
Epoch 429, average loss over 276 batches: 1.274191943631656
Epoch 430, average loss over 276 batches: 1.273439361565355
Epoch 431, average loss over 276 batches: 1.2733721741731616
Epoch 432, average loss over 276 batches: 1.2737132284952246
Epoch 433, average loss over 276 batches: 1.2741013199522875
Epoch 434, average loss over 276 batches: 1.2730912618015124
Epoch 435, average loss over 276 batches: 1.2742718173109966
Epoch 436, average loss over 276 batches: 1.272884911817053
Epoch 437, average loss over 276 batches: 1.273350322160168
Epoch 438, average loss over 276 batches: 1.2735027964564338
Epoch 439, average loss over 276 batches: 1.2731682900069416
Epoch 440, average loss over 276 batches: 1.2735113523144652
Epoch 441, average loss over 276 batches: 1.2730428861535115
Epoch 442, average loss over 276 batches: 1.2727442012316939
Epoch 443, average loss over 276 batches: 1.2728785293689673
Epoch 444, average loss over 276 batches: 1.2731759401335232
Epoch 445, average loss over 276 batches: 1.2731180273104405
Epoch 446, average loss over 276 batches: 1.2730900429297185
Epoch 447, average loss over 276 batches: 1.2728219671525818
Epoch 448, average loss over 276 batches: 1.2726726782494697
Epoch 449, average loss over 276 batches: 1.272138809380324
Epoch 450, average loss over 276 batches: 1.2732362289359604
Epoch 451, average loss over 276 batches: 1.2725625487341397
Epoch 452, average loss over 276 batches: 1.2726020476092463
Epoch 453, average loss over 276 batches: 1.2729679523170858
Epoch 454, average loss over 276 batches: 1.2727287416008934
Epoch 455, average loss over 276 batches: 1.2725205084551936
Epoch 456, average loss over 276 batches: 1.2727607488632202
Epoch 457, average loss over 276 batches: 1.2724554348683013
Epoch 458, average loss over 276 batches: 1.272963943256848
Epoch 459, average loss over 276 batches: 1.2720882901246997
Epoch 460, average loss over 276 batches: 1.2719347999579664
Epoch 461, average loss over 276 batches: 1.2726947803428208
Epoch 462, average loss over 276 batches: 1.2726645586283312
Epoch 463, average loss over 276 batches: 1.2724667308123216
Epoch 464, average loss over 276 batches: 1.2728495900181755
Epoch 465, average loss over 276 batches: 1.2725022625232087
Epoch 466, average loss over 276 batches: 1.2720156078753264
Epoch 467, average loss over 276 batches: 1.272337504055189
Epoch 468, average loss over 276 batches: 1.2722710612891377
Epoch 469, average loss over 276 batches: 1.2718896200691445
Epoch 470, average loss over 276 batches: 1.2723417135252468
Epoch 471, average loss over 276 batches: 1.27159434945687
Epoch 472, average loss over 276 batches: 1.271698224371758
Epoch 473, average loss over 276 batches: 1.2722648783870365
Epoch 474, average loss over 276 batches: 1.2729060312976008
Epoch 475, average loss over 276 batches: 1.2720751183620398
Epoch 476, average loss over 276 batches: 1.2719045402347178
Epoch 477, average loss over 276 batches: 1.271183844493783
Epoch 478, average loss over 276 batches: 1.2719951988994211
Epoch 479, average loss over 276 batches: 1.2720276182112487
Epoch 480, average loss over 276 batches: 1.2716456232727438
Epoch 481, average loss over 276 batches: 1.271809327861537
Epoch 482, average loss over 276 batches: 1.2717403782450634
Epoch 483, average loss over 276 batches: 1.271670378204705
Epoch 484, average loss over 276 batches: 1.2724092486112013
Epoch 485, average loss over 276 batches: 1.2722923915455306
Epoch 486, average loss over 276 batches: 1.2711630511111107
Epoch 487, average loss over 276 batches: 1.2717158263144286
Epoch 488, average loss over 276 batches: 1.2719271848167197
Epoch 489, average loss over 276 batches: 1.2713850533616715
Epoch 490, average loss over 276 batches: 1.271502509497214
Epoch 491, average loss over 276 batches: 1.2719441142635068
Epoch 492, average loss over 276 batches: 1.2718999221705007
Epoch 493, average loss over 276 batches: 1.27162306032319
Epoch 494, average loss over 276 batches: 1.2713799843753593
Epoch 495, average loss over 276 batches: 1.2712420553400896
