node_id,closeness_networkwide,betweenness_networkwide,closeness_egograph,betweenness_egograph
337976,0.0,0.0,0.0,0.0
337979,0.0001504664459825459,0.00014917019979602858,0.16666666666666666,0.10606060606060606
337983,0.0002850943187037711,0.0002983064368098777,0.23076923076923078,0.11538461538461538
337985,0.01565608053088896,0.0,0.27472527472527475,0.0
337986,0.0002493022487357868,0.00037278681812950523,0.19838056680161942,0.09615384615384615
337992,0.00017554418697963688,0.0005218834318974782,0.12121212121212122,0.09090909090909091
506077,0.016159350492770192,0.000298329078664664,0.20661157024793386,0.13636363636363635
506085,0.015404582566054661,0.0,0.12810457516339868,0.0
506087,0.015645283919070354,7.460491152095232e-05,0.10471014492753625,0.030797101449275364
506090,0.01615179126713437,0.0028421614394026004,0.11344537815126052,0.2103174603174603
506091,0.016416315926178964,0.07008848637113495,0.10168895144264602,0.28201970443349755
604992,0.00026449179957869394,0.0011179415800749684,0.16387959866220736,0.1794871794871795
605000,0.00024074631357207346,0.00045331750943446034,0.038461538461538464,0.03538461538461538
605003,0.015893026912562395,0.002842087853374545,0.10240202275600506,0.21957671957671956
605005,0.016635934149949683,0.05599308821808789,0.10560344827586207,0.20073891625615764
605006,0.01636155636599357,0.05599301463205982,0.09624618070711478,0.20689655172413793
605007,0.01612086509486551,0.04987563332237854,0.18083182640144668,0.330026455026455
605009,0.01586306354959347,0.04987555973635049,0.15360983102918588,0.33796296296296297
605012,0.016692548885956317,0.070088559957163,0.11324451410658307,0.2697044334975369
605025,0.016179790558591863,0.06625026046286346,0.15555555555555556,0.0
605059,0.01619472979125923,0.06427404225394649,0.11827956989247312,0.3143939393939394
605060,0.016462976337974417,0.06777018001140422,0.18947368421052632,0.29444444444444445
605061,0.016194228027394533,0.06777010642537616,0.1650943396226415,0.3008403361344538
605064,0.016232995371246103,0.06942142950211655,0.1415525114155251,0.32903225806451614
605066,0.01638215102794562,0.05529828941648779,0.11678832116788321,0.32157258064516125
605074,0.01625292378506868,0.02072688630047082,0.1271186440677966,0.23908045977011494
