osmnx_node_id,EMB000,EMB001
337976,-0.21417753,0.073930204
337979,-0.11259833,-0.13198413
337983,-0.0740821,0.19414173
337985,-0.095355585,0.1938866
337986,-0.0740821,0.19414173
337992,-0.15873194,0.12506944
506077,-0.15842775,0.07582316
506085,-0.71253353,0.10800505
506087,-0.47444555,0.23766676
506090,-0.28464597,0.3088363
506091,-0.33448127,0.3247955
604992,-0.22810008,-0.03950074
605000,-0.36390284,0.2721121
605003,-0.28464597,0.3088363
605005,-0.17943662,0.34793842
605006,-0.17943662,0.34793842
605007,-0.19227557,0.33571517
605009,-0.19227557,0.33571517
605012,-0.33448127,0.3247955
605025,-0.8302599,-0.56001896
605059,-0.5243962,-0.048363715
605060,-0.5011686,0.027136233
605061,-0.53796035,0.006357141
605064,-0.5523453,-0.07052487
605066,-0.5673662,-0.07936296
605074,-0.5213318,-0.20966098
605078,-0.5632005,-0.18539634
605093,0.8836443,0.12909555
605095,0.4311726,-0.122017965
605098,0.3299549,0.6227203
605110,0.36665303,0.70844567
605112,0.45412406,0.8125229
605113,0.66991395,0.78070605
9832562,-0.4351659,0.06407223
9832563,-0.41291755,-0.010251798
9832572,-0.25383788,0.11641699
9832573,-0.47778708,0.02448964
9832589,-0.040231835,0.21707912
9832596,0.48339456,0.55768734
9832597,0.46262676,-0.022513784
9832598,0.35806113,-0.24142188
9832602,0.13474391,-0.13896115
9832603,0.49083203,-0.098455295
9832607,0.16788939,-0.2955171
9832609,0.07629373,-0.13701843
9832614,0.17271534,-0.30218694
9832615,0.1857874,-0.3373103
9832616,0.15491065,-0.30623806
9832619,0.15502772,-0.37756824
9832624,-0.12559007,-0.30949217
9832629,-0.2020166,-0.3238683
9832634,-0.05495883,-0.25243497
9832635,-0.092712656,-0.2174558
9832637,-0.12502769,-0.21470751
9832639,-0.18985528,-0.17041357
9832643,-0.06552377,-0.26997417
9832645,0.18180422,-0.58653456
9832649,0.1476934,-0.62981564
9832655,0.110775985,-0.600179
9883491,0.53239095,-0.67485774
9883492,0.47649375,-0.5235432
9883496,0.6526244,-0.11878772
9883498,0.31619444,-0.033065308
9899501,0.23985375,-0.66510695
9899517,0.2881048,-0.15546408
9899519,0.3280009,-0.1505151
9899524,0.010421902,0.5087669
9899525,0.23433438,0.43287516
9899527,0.59743917,0.18994871
9899529,0.6407056,-0.32172695
9920433,-0.26645964,-0.13060789
9920435,-0.14697686,-0.039018463
9920438,-0.074513055,-0.07944428
9920440,0.045108166,-0.0028420025
9920441,-0.13138571,0.25146827
9920444,0.13207018,0.062543884
9920445,0.032859623,-0.033929862
9920446,-0.13987182,-0.046425115
9920447,-0.22715117,-0.12877123
9920452,0.50305474,-0.6765321
9920457,0.68830335,-0.098383054
9920473,0.81259674,0.0030166379
9920478,0.29121298,0.051616367
9920479,0.43353835,0.34223643
9920486,-0.09458789,-0.43098924
9920510,0.562065,0.2387407
9922686,0.15120363,-0.327212
9922687,0.14937876,-0.32145852
9922689,0.1368544,-0.3723017
9922690,0.20147978,-0.36479703
9922696,0.43228948,-0.5810239
9922698,0.46209434,-0.5304454
9922700,0.36337265,-0.4705267
9922701,0.26965317,-0.4116806
9922703,0.47194538,-0.4924837
9922705,0.47782034,-0.32853654
9922712,0.6230906,-0.5081457
9922716,0.32796195,-0.53422487
9922717,0.7285314,-0.68947977
9922718,0.59285945,-0.7071803
9922722,-0.18353243,-0.09189848
9922725,-0.059804782,-0.28971523
9922726,0.03456727,-0.36768255
9922730,0.026650636,-0.32818237
9922734,0.21506387,-0.5038823
9922740,0.6150504,-0.016237788
9922746,0.62187,-0.0857979
9922755,0.46733382,0.19203211
9922756,0.55363244,0.17628925
9922757,0.42790714,0.14350782
9922763,0.03456727,-0.36768255
9922780,-0.022598762,-0.21033695
9922789,-0.11208373,-0.15439881
9922797,0.09509575,-0.48378628
9922798,0.0770575,-0.51676583
9922803,0.117765404,-0.33944875
9922807,0.07034803,-0.5089085
9923542,0.5649532,0.3958882
9923544,0.8770824,-0.40403652
9923546,0.8561075,-0.70770246
9923547,0.53994733,-0.058172643
9923551,0.34843326,0.038063087
9923553,-0.08998976,-0.03425459
9923559,0.10337229,0.057580285
9923563,0.14984077,-0.4115676
9923566,0.18599533,-0.07811846
9923572,-0.04066922,-0.10522975
9923573,-0.16972719,0.050728783
9923575,-0.026569145,-0.0016002917
9923576,-0.22334294,-0.027693722
9923577,-0.07981907,-0.10670518
9923579,0.021561487,-0.011072767
9923580,0.056655917,0.04316205
9924098,0.19563825,-0.49020985
9924105,-0.21541807,0.3196093
9924106,0.10989533,0.47932708
9924108,0.06461932,0.48669648
9924114,-0.19255164,0.32385385
9924115,-0.13471653,0.34210438
9924120,-0.5344313,0.13820514
9924121,-0.5763816,-0.16150193
9924127,-0.028553952,-0.5095419
9924128,0.25395226,-0.74529165
9924137,-0.57965356,0.07260462
9924138,-0.5238552,-0.112531014
9992788,-0.03131991,-0.33823234
9999162,0.006481484,-0.2956504
9999170,0.25281483,-0.53167903
9999171,0.2578851,-0.44492477
9999173,0.12847298,-0.40412864
9999179,-0.002743764,-0.26712087
9999181,0.035019845,-0.30973473
10023637,0.46944153,-0.30142
10023639,0.6568886,-0.18909538
10033761,0.12506212,-0.27436706
10033770,0.41849005,-0.37909657
10033771,0.3938465,-0.5526252
10033774,0.40800714,-0.42166
10033780,0.53724235,0.024094494
10033783,0.37081048,-0.00048117302
10033800,0.14146902,-0.032062773
10033803,0.1608795,-0.070984766
10033804,0.2322388,-0.13579023
10033811,0.004216142,-0.034120858
10033819,0.07164213,0.2856535
10033821,0.08201411,0.30076265
10033823,0.03258403,0.36053455
10033824,0.0481739,0.24298449
10033825,0.12035269,0.21479298
10033828,0.108722776,0.20309418
10033829,0.08866439,0.30091757
10036680,-0.33050543,-0.27779892
10036681,-0.33050543,-0.27779892
10036684,-0.41291755,-0.010251798
10036685,-0.41291755,-0.010251805
10036686,-0.33050543,-0.27779892
10301545,0.062408146,-0.22011201
10301546,0.027299926,-0.21246137
10301547,0.03668895,-0.26582372
10301550,0.027452279,-0.24202266
10301551,0.021276217,-0.26677248
10301552,0.04111876,-0.22337689
10301563,0.50305474,-0.6765321
10301564,0.50305474,-0.6765321
10301572,0.38620496,-0.22145522
10301588,-0.30237782,0.44689804
10372881,0.16661936,0.43075687
10372887,0.18484508,0.46578556
10372890,0.011412825,0.48692986
10372891,-0.106671065,0.29799277
10389694,0.30147818,-0.22827004
10389699,0.5254446,-0.18436247
10389704,0.48861212,-0.26194867
10389705,0.5547815,-0.28798807
10389712,0.5096903,-0.49457353
10390268,0.16145042,-0.4269495
10390270,0.10770687,-0.37335095
10390274,0.014370018,-0.49867153
10390275,-0.00762954,-0.50334466
10390276,-0.027690526,-0.49595678
10390277,0.099401146,-0.17772171
10390279,-0.00019836587,-0.07995581
10392210,-0.22134282,0.13866057
10392211,-0.4543135,0.06674756
10531153,0.14146328,-0.3221817
10531422,-0.04451773,-0.30866626
10531425,0.03367704,-0.26066017
10531432,0.22040914,-0.53982306
10531439,0.0833571,-0.25367162
10537221,0.60179436,-0.41993028
10537223,0.44599974,-0.27073354
10537224,0.39695624,-0.12427823
10537225,0.48117414,-0.0745576
10537226,0.47499466,-0.07132028
10537227,0.39212784,-0.02724858
10537228,0.3732465,-0.052732896
10537229,0.4798977,-0.10903173
10537231,0.48779196,-0.24362923
10537232,0.30314198,0.18895096
10537237,0.4304813,0.20090948
10537243,0.78844005,-0.30820695
10537245,0.740373,-0.2210672
10537249,0.51383376,-0.32093212
10537251,0.6807608,-0.5932372
10537254,0.37874022,-0.3862348
10537255,0.48027015,-0.38148594
10537263,0.397521,-0.3385569
10537264,0.41371322,-0.34367064
10537265,0.45147225,-0.41434696
10537266,0.25797692,-0.22584866
10537267,0.18511993,-0.15331581
10537271,0.3454402,-0.10178471
10537273,0.3386387,-0.0020737648
10537275,0.58965963,-0.6449909
10537287,-0.3089454,0.37275606
10537298,0.2718791,-0.025057388
