osmnx_node_id,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,closeness_networkwide,betweenness_networkwide,EMB000,EMB001,EMB000pooled,EMB001pooled
337976.0,11.0,11.0,2.0,1261.861,114.71463636363636,3.0,11.0,1261.861,11.0,114.71463636363636,1.0383429424181485,0.0,0.0,-0.2123037,-0.56356376,-0.21417753,0.073930204
337979.0,13.0,13.0,2.0,2126.471,163.57469230769232,3.0,13.0,2126.471,13.0,163.57469230769232,1.0309878075715362,0.0001504664459825459,0.00014917019979602858,-0.32266173,-0.8822132,-0.11259833,-0.13198413
337983.0,14.0,14.0,2.0,1870.996,133.64257142857144,3.0,14.0,1870.996,14.0,133.64257142857144,1.0486299847025424,0.0002850943187037711,0.0002983064368098777,-0.009131691,0.9488564,-0.0740821,0.19414173
337985.0,14.0,14.0,2.0,1815.929,129.7092142857143,3.0,14.0,1815.929,14.0,129.7092142857143,1.0501921613843817,0.01565608053088896,0.0,-0.13635002,0.9655311,-0.095355585,0.1938866
337986.0,14.0,14.0,2.0,1870.996,133.64257142857144,3.0,14.0,1870.996,14.0,133.64257142857144,1.0486299847025424,0.0002493022487357868,0.00037278681812950523,-0.20345628,0.44737384,-0.0740821,0.19414173
337992.0,12.0,12.0,2.0,1431.388,119.28233333333334,3.0,12.0,1431.388,12.0,119.28233333333334,1.0336501752094605,0.00017554418697963688,0.0005218834318974782,0.4505462,0.6880257,-0.15873194,0.12506944
506077.0,12.0,12.0,2.0,1603.592,133.6326666666667,3.0,12.0,1599.6839999999995,11.0,145.42581818181816,1.1384333108505709,0.016159350492770192,0.000298329078664664,0.14571078,0.8973156,-0.15842775,0.07582316
506085.0,19.0,26.0,2.736842105263158,1402.7279999999996,53.95107692307691,2.8947368421052637,18.0,1166.2099999999998,22.0,53.009545454545446,1.0544412962953489,0.015404582566054661,0.0,0.47289905,0.7177285,-0.71253353,0.10800505
506087.0,25.0,35.0,2.8,2365.545,67.587,2.76,22.0,2016.218,28.0,72.0077857142857,1.0578684903912887,0.015645283919070354,7.460491152095232e-05,-0.74195576,0.09755411,-0.47444555,0.23766676
506090.0,29.0,42.0,2.896551724137931,3780.381,90.00907142857143,2.7241379310344827,25.0,3281.948000000001,34.0,96.5278823529412,1.0747352428941022,0.01615179126713437,0.0028421614394026004,-0.4585803,0.7265147,-0.28464597,0.3088363
506091.0,30.0,43.0,2.8666666666666667,3078.471,71.5923488372093,2.7333333333333334,26.0,2577.667,34.0,75.81373529411765,1.0533927332761397,0.016416315926178964,0.07008848637113495,-0.81424916,-0.21255897,-0.33448127,0.3247955
604992.0,14.0,14.0,2.0,1993.486,142.39185714285716,3.0,14.0,1993.486,14.0,142.39185714285716,1.0841199751836674,0.00026449179957869394,0.0011179415800749684,0.7522235,0.48388815,-0.22810008,-0.03950074
605000.0,27.0,39.0,2.888888888888889,3497.42,89.67743589743588,2.703703703703704,23.0,2998.987,31.0,96.74151612903223,1.079944092478402,0.00024074631357207346,0.00045331750943446034,-0.043902524,-0.5268272,-0.36390284,0.2721121
605003.0,29.0,42.0,2.896551724137931,3780.381,90.00907142857143,2.7241379310344827,25.0,3281.948000000001,34.0,96.5278823529412,1.0747352428941022,0.015893026912562395,0.002842087853374545,-0.7983324,0.033355627,-0.28464597,0.3088363
605005.0,30.0,45.0,3.0,4096.956999999999,91.04348888888887,2.7333333333333334,26.0,3138.427,35.0,89.66934285714287,1.090646452170847,0.016635934149949683,0.05599308821808789,-0.2515382,0.92282754,-0.17943662,0.34793842
605006.0,30.0,45.0,3.0,4096.956999999999,91.04348888888887,2.7333333333333334,26.0,3138.427,35.0,89.66934285714287,1.090646452170847,0.01636155636599357,0.05599301463205982,-0.15003099,0.41099444,-0.17943662,0.34793842
