0,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportions,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,node_id
,30.0,43.0,2.8666666666666667,3078.471,71.5923488372093,2.7333333333333334,"{0: 0, 1: 4, 2: 0, 3: 26}","{0: 0.0, 1: 0.13333333333333333, 2: 0.0, 3: 0.8666666666666667}",26.0,2577.667,34.0,75.81373529411765,1.0533927332761397,0.0,605012.0
,15.0,20.0,2.6666666666666665,709.8810000000001,35.49405,3.0,"{0: 0, 1: 0, 2: 0, 3: 15}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}",15.0,693.6940000000002,19.0,36.5102105263158,1.0317886905565605,0.0,605025.0
,34.0,54.0,3.176470588235294,3187.633,59.03024074074074,2.9705882352941178,"{0: 0, 1: 1, 2: 0, 3: 32, 4: 1}","{0: 0.0, 1: 0.029411764705882353, 2: 0.0, 3: 0.9411764705882353, 4: 0.029411764705882353}",33.0,2388.847,42.0,56.87730952380953,1.0175135437978418,0.0,605059.0
,37.0,60.0,3.2432432432432434,3649.606999999999,60.82678333333332,2.864864864864865,"{0: 0, 1: 3, 2: 0, 3: 33, 4: 1}","{0: 0.0, 1: 0.08108108108108109, 2: 0.0, 3: 0.8918918918918919, 4: 0.02702702702702703}",34.0,2619.834,45.0,58.218533333333326,1.0203990858081875,0.0,605060.0
,36.0,58.0,3.2222222222222223,3507.9829999999993,60.482465517241366,2.9166666666666665,"{0: 0, 1: 2, 2: 0, 3: 33, 4: 1}","{0: 0.0, 1: 0.05555555555555555, 2: 0.0, 3: 0.9166666666666666, 4: 0.027777777777777776}",34.0,2549.022,44.0,57.93231818181818,1.0209777145355987,0.0,605061.0
,32.0,50.0,3.125,3034.5489999999995,60.69097999999999,3.03125,"{0: 0, 1: 0, 2: 0, 3: 31, 4: 1}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.96875, 4: 0.03125}",32.0,2312.305,40.0,57.807624999999994,1.0174179139820838,0.0,605064.0
,33.0,52.0,3.1515151515151514,3113.309,59.87132692307693,3.0303030303030303,"{0: 0, 1: 0, 2: 0, 3: 32, 4: 1}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.9696969696969697, 4: 0.030303030303030304}",33.0,2351.6850000000004,41.0,57.358170731707325,1.0171214657441219,0.0,605066.0
,31.0,48.0,3.096774193548387,2907.699,60.577062500000004,3.032258064516129,"{0: 0, 1: 0, 2: 0, 3: 30, 4: 1}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.967741935483871, 4: 0.03225806451612903}",31.0,2248.8800000000006,39.0,57.66358974358976,1.015272677770197,0.0,605074.0
,28.0,42.0,3.0,3345.183,79.64721428571428,3.0357142857142856,"{0: 0, 1: 0, 2: 0, 3: 27, 4: 1}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.9642857142857143, 4: 0.03571428571428571}",28.0,2467.6220000000008,36.0,68.54505555555558,1.0153902018846936,0.0,605078.0
,26.0,56.0,4.3076923076923075,5893.061999999999,105.23324999999998,2.769230769230769,"{0: 0, 1: 4, 2: 0, 3: 20, 4: 2}","{0: 0.0, 1: 0.15384615384615385, 2: 0.0, 3: 0.7692307692307693, 4: 0.07692307692307693}",22.0,2946.5309999999995,28.0,105.23324999999998,1.0534472546613514,0.0,605093.0
,30.0,66.0,4.4,6985.665999999999,105.84342424242423,2.7666666666666666,"{0: 0, 1: 5, 2: 0, 3: 22, 4: 3}","{0: 0.0, 1: 0.16666666666666666, 2: 0.0, 3: 0.7333333333333333, 4: 0.1}",25.0,3492.8329999999996,33.0,105.84342424242423,1.0155719803586034,0.0,605095.0
,29.0,56.0,3.8620689655172415,5187.444,92.63292857142858,2.3793103448275863,"{0: 0, 1: 9, 2: 0, 3: 20}","{0: 0.0, 1: 0.3103448275862069, 2: 0.0, 3: 0.6896551724137931}",20.0,2593.722,28.0,92.63292857142858,1.0312453971871938,0.0,605098.0
,25.0,48.0,3.84,5239.256000000001,109.1511666666667,2.52,"{0: 0, 1: 6, 2: 0, 3: 19}","{0: 0.0, 1: 0.24, 2: 0.0, 3: 0.76}",19.0,2619.6280000000006,24.0,109.1511666666667,1.029110356121718,0.0,605110.0
,30.0,60.0,4.0,5580.28,93.00466666666667,2.533333333333333,"{0: 0, 1: 7, 2: 0, 3: 23}","{0: 0.0, 1: 0.23333333333333334, 2: 0.0, 3: 0.7666666666666667}",23.0,2790.14,30.0,93.00466666666667,1.0401420548741442,0.0,605112.0
,28.0,58.0,4.142857142857143,6056.463999999999,104.42179310344827,2.5714285714285716,"{0: 0, 1: 6, 2: 0, 3: 22}","{0: 0.0, 1: 0.21428571428571427, 2: 0.0, 3: 0.7857142857142857}",22.0,3028.2319999999995,29.0,104.42179310344827,1.0256621965771773,0.0,605113.0
,15.0,19.0,2.533333333333333,1896.4150000000002,99.8113157894737,3.0,"{0: 0, 1: 0, 2: 0, 3: 15}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}",15.0,1481.7270000000003,17.0,87.1604117647059,1.0202561273991206,0.0,9832562.0
,16.0,20.0,2.5,2214.486,110.7243,3.0,"{0: 0, 1: 0, 2: 0, 3: 16}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}",16.0,1799.7980000000002,18.0,99.98877777777778,1.0168632920237919,0.0,9832563.0
,33.0,52.0,3.1515151515151514,4271.059000000001,82.13575000000002,3.0303030303030303,"{0: 0, 1: 1, 2: 0, 3: 29, 4: 3}","{0: 0.0, 1: 0.030303030303030304, 2: 0.0, 3: 0.8787878787878788, 4: 0.09090909090909091}",32.0,3038.9020000000005,41.0,74.11956097560977,1.01855283571442,0.0,9832572.0
,51.0,81.0,3.176470588235294,5088.537999999999,62.82145679012344,2.9411764705882355,"{0: 0, 1: 3, 2: 0, 3: 45, 4: 3}","{0: 0.0, 1: 0.058823529411764705, 2: 0.0, 3: 0.8823529411764706, 4: 0.058823529411764705}",48.0,3532.28,65.0,54.342769230769235,1.037078932077493,0.0,9832573.0
,20.0,40.0,4.0,4879.2300000000005,121.98075000000001,2.4,"{0: 0, 1: 6, 2: 0, 3: 14}","{0: 0.0, 1: 0.3, 2: 0.0, 3: 0.7}",14.0,2439.6150000000002,20.0,121.98075000000001,1.231618857775072,0.05,9832589.0
,52.0,116.0,4.461538461538462,10288.667999999998,88.69541379310343,2.8653846153846154,"{0: 0, 1: 5, 2: 0, 3: 44, 4: 3}","{0: 0.0, 1: 0.09615384615384616, 2: 0.0, 3: 0.8461538461538461, 4: 0.057692307692307696}",47.0,5627.919999999998,63.0,89.33206349206347,1.0866406640424495,0.015873015873015872,9832596.0
,63.0,128.0,4.063492063492063,10469.286000000004,81.79129687500003,3.0317460317460316,"{0: 0, 1: 5, 2: 0, 3: 50, 4: 6, 5: 0, 6: 2}","{0: 0.0, 1: 0.07936507936507936, 2: 0.0, 3: 0.7936507936507936, 4: 0.09523809523809523, 5: 0.0, 6: 0.031746031746031744}",58.0,6221.353999999998,81.0,76.80683950617282,1.048397825823926,0.012345679012345678,9832597.0
,67.0,128.0,3.8208955223880596,9384.959999999997,73.31999999999998,3.1044776119402986,"{0: 0, 1: 4, 2: 0, 3: 54, 4: 6, 5: 0, 6: 3}","{0: 0.0, 1: 0.05970149253731343, 2: 0.0, 3: 0.8059701492537313, 4: 0.08955223880597014, 5: 0.0, 6: 0.04477611940298507}",63.0,6035.678999999999,90.0,67.06309999999999,1.0490015591025101,0.011111111111111112,9832598.0
,30.0,55.0,3.6666666666666665,4579.512999999999,83.26387272727271,2.7,"{0: 0, 1: 7, 2: 0, 3: 18, 4: 5}","{0: 0.0, 1: 0.23333333333333334, 2: 0.0, 3: 0.6, 4: 0.16666666666666666}",23.0,3115.503,33.0,94.40918181818182,1.0126145643018625,0.0,9832602.0
,19.0,31.0,3.263157894736842,2766.3540000000003,89.23722580645162,3.210526315789474,"{0: 0, 1: 0, 2: 0, 3: 15, 4: 4}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.7894736842105263, 4: 0.21052631578947367}",19.0,2193.1749999999997,22.0,99.68977272727271,1.013875309816224,0.0,9832603.0
,113.0,201.0,3.5575221238938055,11749.849999999999,58.456965174129344,2.893805309734513,"{0: 0, 1: 15, 2: 3, 3: 76, 4: 17, 5: 2}","{0: 0.0, 1: 0.13274336283185842, 2: 0.02654867256637168, 3: 0.672566371681416, 4: 0.1504424778761062, 5: 0.017699115044247787}",98.0,8725.607,151.0,57.785476821192056,1.0124740003788568,0.0,9832607.0
,28.0,51.0,3.642857142857143,4284.4169999999995,84.00817647058823,2.642857142857143,"{0: 0, 1: 7, 2: 0, 3: 17, 4: 4}","{0: 0.0, 1: 0.25, 2: 0.0, 3: 0.6071428571428571, 4: 0.14285714285714285}",21.0,2967.9550000000004,31.0,95.74048387096775,1.0132300592612165,0.0,9832609.0
,114.0,203.0,3.56140350877193,11563.768,56.96437438423645,2.8771929824561404,"{0: 0, 1: 16, 2: 3, 3: 76, 4: 17, 5: 2}","{0: 0.0, 1: 0.14035087719298245, 2: 0.02631578947368421, 3: 0.6666666666666666, 4: 0.14912280701754385, 5: 0.017543859649122806}",98.0,8485.228000000001,151.0,56.19356291390729,1.0126997091526078,0.0,9832614.0
,115.0,201.0,3.4956521739130433,11695.844999999998,58.18828358208954,2.869565217391304,"{0: 0, 1: 17, 2: 2, 3: 77, 4: 17, 5: 2}","{0: 0.0, 1: 0.14782608695652175, 2: 0.017391304347826087, 3: 0.6695652173913044, 4: 0.14782608695652175, 5: 0.017391304347826087}",98.0,8645.522,152.0,56.87843421052632,1.0132282745200105,0.0,9832615.0
,123.0,216.0,3.5121951219512195,12341.387999999997,57.136055555555544,2.926829268292683,"{0: 0, 1: 15, 2: 2, 3: 85, 4: 19, 5: 2}","{0: 0.0, 1: 0.12195121951219512, 2: 0.016260162601626018, 3: 0.6910569105691057, 4: 0.15447154471544716, 5: 0.016260162601626018}",108.0,9355.547,167.0,56.02123952095808,1.0125599183821423,0.0,9832616.0
