osmnx_node_id,EMB000,EMB001
337976,-0.22110339,-0.50695074
337979,-0.33342376,-0.74453795
337983,-0.032123886,0.9536266
337985,-0.14911975,0.96808636
337986,-0.1683127,0.44170904
337992,0.44925672,0.6934656
506077,0.31074005,0.91364384
506085,0.47276428,0.7044474
506087,-0.71075547,-0.0214147
506090,-0.48360193,0.8553828
506091,-0.82776904,-0.19293313
604992,0.6994392,0.6434526
605000,0.014626704,-0.380758
605003,-0.80008745,0.033008564
605005,-0.2558628,0.946389
605006,-0.07940718,0.3810752
605007,-0.9547282,0.61769867
605009,-0.77063483,0.15280095
605012,-0.76659393,-0.33184072
605025,-0.0051583415,-0.40890905
605059,-0.85289675,0.2849016
605060,-0.6256577,-0.13533542
605061,-0.057669293,0.355595
605064,-0.755514,0.17936945
605066,-0.783669,0.11414292
605074,0.39791596,-0.44368583
605078,0.40245035,-0.99786806
605093,0.9966183,-0.95816505
605095,0.9999987,-0.9999646
605098,0.9995962,0.9988222
605110,0.9999251,0.9938934
605112,0.9972585,0.99705327
605113,0.9962916,0.99909306
9832562,-0.05515754,0.885567
9832563,-0.46226752,0.8944952
9832572,-0.94640815,0.2867472
9832573,-0.78903073,0.010371883
9832589,0.9999993,-0.14317478
9832596,0.999552,0.9975661
9832597,0.99996775,0.42364132
9832598,0.99984145,-0.9983592
9832602,0.35024646,-0.9346467
9832603,0.8145123,-0.4848227
9832607,0.36732367,-0.99995977
9832609,0.98484963,-0.9637311
9832614,0.40236002,-0.9992025
9832615,0.22416909,-0.96634173
9832616,0.97922665,-0.99992406
9832619,0.49859184,-0.25200483
9832624,-0.10329896,0.9123842
9832629,0.002096784,-0.41374823
9832634,-0.4980032,0.40545306
9832635,-0.21871416,0.96293145
9832637,-0.83086646,-0.49141476
9832639,-0.9960169,-0.68892664
9832643,-0.8263761,-0.30067918
9832645,0.6919523,-0.9999844
9832649,0.99999505,-0.99992883
9832655,0.92117244,-0.995127
9883491,0.7148125,-0.9945702
9883492,0.30026022,-0.971728
9883496,0.9979304,-0.99955404
9883498,0.61538744,0.14870831
9899501,-0.03396236,0.9698783
9899517,-0.9960173,-0.6891062
9899519,-0.9960169,-0.68892664
9899524,-0.4502539,0.94574153
9899525,0.99999654,0.5563886
9899527,0.9999598,-0.9658137
9899529,0.89703643,-0.9997441
9920433,0.55633485,0.48957425
9920435,-0.6431447,-0.06109203
9920438,-0.9948354,-0.5512225
9920440,-0.24221295,0.9204188
9920441,-0.82624865,-0.33938482
9920444,0.28072158,-0.9936073
9920445,-0.11632576,0.4130234
9920446,-0.20651154,0.95484143
9920447,-0.055734266,0.3531013
9920452,0.92669123,-0.9997075
9920457,0.9996815,-0.999962
9920473,0.9999849,0.9516334
9920478,0.99993443,0.9880382
9920479,0.9981144,0.99890226
9920486,0.70705265,-0.15051977
9920510,0.22188905,-0.96815896
9922686,0.4105257,-0.99995047
9922687,0.4024909,-0.9991933
9922689,0.6060826,-0.9424029
9922690,0.9970314,0.30358854
9922696,0.612177,-0.9983098
9922698,-0.830875,-0.49168164
9922700,0.9209292,-0.9996451
9922701,-0.31813195,0.95908135
9922703,0.9999939,-0.62388015
9922705,-0.35515913,0.99621755
9922712,0.99999124,-0.9999877
9922716,0.9850205,-0.9923329
9922717,0.99970025,-0.9995335
9922718,0.6770941,-0.9965272
9922722,0.31211895,0.88873494
9922725,-0.11461654,0.42282254
9922726,0.97948074,-0.98170364
9922730,0.70602167,-0.02920119
9922734,0.9612303,-0.9992678
9922740,0.44430262,-0.20551196
9922746,0.99999714,-0.9999561
9922755,0.37538934,0.44382286
9922756,0.9999774,0.46784523
9922757,0.99748236,-0.70262146
9922763,0.4151063,-0.9999497
9922780,-0.16700669,-0.15281473
9922789,0.22570589,0.74227965
9922797,-0.10710792,-0.6847848
9922798,0.39240938,-0.9999394
9922803,0.64316076,-0.9396578
9922807,0.97453856,-0.9882193
9923542,0.99999654,-0.37223142
9923544,0.99999493,-0.9999975
9923546,0.9999972,-0.9999543
9923547,0.9999995,0.016702438
9923551,-0.76498324,0.16537812
9923553,-0.6034458,-0.12801267
9923559,-0.2534676,0.4463225
9923563,0.99941236,-0.009339422
9923566,-0.9437042,0.6732685
9923572,-0.35777286,0.43546435
9923573,-0.31713507,0.95969546
9923575,-0.6684698,0.28329024
9923576,-0.48695508,0.49242523
9923577,-0.40115136,0.9548795
9923579,-0.047228254,-0.72726846
9923580,-0.049331795,0.34961936
9924098,0.77348924,-0.5253938
9924105,-0.24609908,-0.20231612
9924106,-0.45235556,0.41522616
9924108,-0.9956804,-0.37603533
9924114,-0.25321454,-0.9920051
9924115,-0.9921162,0.12981676
9924120,-0.5269628,0.6467067
9924121,0.6287831,0.69190097
9924127,0.990703,-0.9834441
9924128,0.9829729,-0.96976054
9924137,0.32194313,0.71376514
9924138,0.36416507,0.7665241
9992788,0.9989246,0.10777583
9999162,0.5400222,0.98067987
9999170,0.09159873,-0.99458873
9999171,0.114688076,-0.62355447
9999173,-0.9871278,0.2981589
9999179,-0.22555977,0.44800198
9999181,-0.93384796,0.65872943
10023637,0.94520414,-0.9855109
10023639,0.9980462,-0.99957716
10033761,0.99969023,-0.985321
10033770,0.78463525,-0.90103924
10033771,0.81257254,-0.84852886
10033774,0.98661613,-0.98248905
10033780,-0.92068326,0.29192856
10033783,0.0073528416,0.7503543
10033800,-0.7583793,0.17525023
10033803,-0.84970045,0.45629445
10033804,-0.50913715,0.40172392
10033811,0.09671397,0.7469598
10033819,-0.31091312,0.9558077
10033821,-0.98278606,0.21204554
10033823,-0.19556214,0.45205972
10033824,-0.83086646,-0.49141476
10033825,-0.830875,-0.49168164
10033828,-0.83086646,-0.49141476
10033829,-0.83086646,-0.49141476
10036680,-0.0017419813,0.1950914
10036681,0.22104672,-0.17014967
10036684,-0.43756124,0.4185066
10036685,-0.7932522,0.0761849
10036686,-0.83086634,-0.49141505
10301545,-0.3221354,0.44216624
10301546,-0.97551316,0.35767615
10301547,-0.82675755,-0.35792503
10301550,-0.83833313,0.12676977
10301551,-0.43238077,0.4196708
10301552,-0.5255822,0.90970045
10301563,0.84493494,-0.99998033
10301564,0.9895945,-0.9842753
10301572,0.72333974,-0.9999908
10301588,0.485743,0.99913055
10372881,0.9954655,-0.72866184
10372887,0.70625347,0.99957186
10372890,0.97187227,0.99962574
10372891,0.9999894,-0.50004107
10389694,0.42202565,-0.33715042
10389699,0.99997085,-0.9999695
10389704,0.9999983,-0.9940237
10389705,0.99996084,-0.99999887
10389712,0.99992454,-0.9972365
10390268,0.9936906,-0.6941867
10390270,0.73324513,-0.9399861
10390274,0.5344448,-0.99959534
10390275,0.9469188,-0.9847554
10390276,0.9953599,-0.99999887
10390277,-0.83086646,-0.49141476
10390279,-0.08910481,0.9683262
10392210,0.99969953,-0.97578037
10392211,0.99594986,-0.7317507
10531153,0.9999513,-0.5043722
10531422,0.9837304,-0.7658137
10531425,-0.09882584,0.67314863
10531432,0.9999947,-0.56511474
10531439,0.98920304,-0.97691613
10537221,0.999255,-0.99979675
10537223,0.9999709,-0.9720124
10537224,0.97871107,-0.99878687
10537225,-0.99478185,-0.10603678
10537226,-0.8264619,-0.3477672
10537227,-0.08076588,0.95621365
10537228,-0.98555666,0.32510474
10537229,-0.82157683,-0.13519835
10537231,0.99999243,0.4363737
10537232,0.9988483,-0.99997514
10537237,0.9999991,-0.9999572
10537243,0.999984,-0.90639514
10537245,0.99997723,-0.9999571
10537249,0.9993377,-0.99996585
10537251,0.9999925,-0.9999559
10537254,0.9999961,-0.99994093
10537255,0.66649264,-0.9740251
10537263,0.37371153,-0.88202685
10537264,-0.4528919,-0.95952463
10537265,0.9945911,-0.007827774
10537266,0.37366757,-0.9983295
10537267,0.9999434,-0.6020762
10537271,0.9999692,0.6422174
10537273,0.85264003,0.99955165
10537275,0.90803605,-0.61185646
10537287,0.5141431,0.9939275
10537298,-0.9960169,-0.68892664
10537421,-0.37333724,0.9530528
10537430,-0.829896,-0.46089795
10537434,-0.99592674,-0.23516636
10537435,-0.551656,0.37871113
10537437,-0.8272586,-0.18784848
10537438,-0.3240487,0.44208193
10537439,-0.770205,0.15391083
10537674,0.99896836,0.11917254
10864786,0.9364298,0.9859138
10866136,0.99612695,0.9984676
10866314,0.28618857,-0.9680878
10867986,0.9999777,-0.9999999
10867987,0.9955083,-0.99999124
10867988,0.99913955,-0.9994979
10867992,0.9673972,-0.9888247
10868094,-0.83086646,-0.49141476
10868096,-0.83086646,-0.49141476
10868098,-0.9959248,-0.5476694
10868100,-0.94937235,0.287045
10868806,0.99995697,-0.94550306
10868812,0.38964432,-0.9985872
10870308,0.22928044,-0.96174896
10870309,0.93609107,-0.9994763
10870314,0.9999712,-0.99996275
10870319,0.9596042,0.4818715
10870321,0.7190772,0.99178314
10870327,0.99677044,-0.94841933
10870335,0.99999875,-0.42498365
10871663,0.63472867,-0.89710534
10927435,0.045936026,0.9990587
12444555,0.9996334,0.9968531
12444559,0.98846394,-0.70449674
13888906,0.99987227,0.94623125
13888909,0.99999565,-0.2730738
13888918,-0.0020110393,-0.99843764
13888923,0.92919815,-0.99961066
13888925,0.42120013,-0.9987718
13888928,0.78136635,-0.99978435
13888930,0.4506071,-0.9999434
13888938,0.8399286,0.25062665
13888939,-0.49161395,0.9177753
13888948,0.09692083,-0.755283
13888949,-0.83086646,-0.49141476
13889061,-0.29321015,-0.9791806
13889063,-0.507413,0.40250435
13889067,0.9188911,-0.99964446
13894882,0.40517935,-0.9999486
13895085,0.9999968,-0.9999408
13895086,0.99993396,0.9857363
13896009,0.99999934,0.49390322
13896011,0.999998,-0.4385932
13896012,0.9999989,-0.9999265
13896018,0.6519195,-0.84357435
13896673,0.33258045,-0.99819726
13896675,0.09012085,0.33892524
13896681,0.48993477,0.6873935
13896682,0.9993966,-0.9998914
14194124,0.4642871,0.99738026
14194126,0.25144354,0.9986007
14194128,0.9999934,-0.31392235
14194152,0.9999957,-0.4478801
14194172,0.9999996,0.2660319
14194206,0.9958009,0.9990521
14194211,0.9999963,-0.9999581
14194212,0.99999607,-0.62099504
14194213,0.9999996,0.3195202
14194218,0.9999351,0.9915977
14194225,0.28625596,-0.96811277
14194226,-0.9911122,0.16936982
14194227,0.7588513,0.9998497
14324398,0.37391004,0.7707512
14324399,0.9706657,0.9988107
14324409,0.9988074,0.9986235
14324412,0.9786934,0.99922484
14324420,0.9999945,0.95669395
14324424,0.7432296,0.56033146
14414808,0.99998343,-0.5445975
14414823,0.96139413,-0.99674326
