osmnx_node_id,EMB000,EMB001,EMB000pooled,EMB001pooled,closeness_networkwide,betweenness_networkwide,closeness_egograph,betweenness_egograph,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg
337976,-0.2123037,-0.56356376,-0.21417753,0.073930204,0.0,0.0,0.0,0.0,11.0,11.0,2.0,1261.861,114.71463636363636,3.0,11.0,1261.861,11.0,114.71463636363636,1.0383429424181485
337979,-0.32266173,-0.8822132,-0.11259833,-0.13198413,0.0001504664459825,0.000149170199796,0.1666666666666666,0.106060606060606,13.0,13.0,2.0,2126.471,163.57469230769232,3.0,13.0,2126.471,13.0,163.57469230769232,1.0309878075715362
337983,-0.009131691,0.9488564,-0.0740821,0.19414173,0.0002850943187037,0.0002983064368098,0.2307692307692307,0.1153846153846153,14.0,14.0,2.0,1870.996,133.64257142857144,3.0,14.0,1870.996,14.0,133.64257142857144,1.0486299847025424
337985,-0.13635002,0.9655311,-0.095355585,0.1938866,0.0156560805308889,0.0,0.2747252747252747,0.0,14.0,14.0,2.0,1815.929,129.7092142857143,3.0,14.0,1815.929,14.0,129.7092142857143,1.0501921613843817
337986,-0.20345628,0.44737384,-0.0740821,0.19414173,0.0002493022487357,0.0003727868181295,0.1983805668016194,0.0961538461538461,14.0,14.0,2.0,1870.996,133.64257142857144,3.0,14.0,1870.996,14.0,133.64257142857144,1.0486299847025424
337992,0.4505462,0.6880257,-0.15873194,0.12506944,0.0001755441869796,0.0005218834318974,0.1212121212121212,0.0909090909090909,12.0,12.0,2.0,1431.388,119.28233333333334,3.0,12.0,1431.388,12.0,119.28233333333334,1.0336501752094605
506077,0.14571078,0.8973156,-0.15842775,0.07582316,0.0161593504927701,0.0002983290786646,0.2066115702479338,0.1363636363636363,12.0,12.0,2.0,1603.592,133.6326666666667,3.0,12.0,1599.6839999999995,11.0,145.42581818181816,1.1384333108505709
506085,0.47289905,0.7177285,-0.71253353,0.10800505,0.0154045825660546,0.0,0.1281045751633986,0.0,19.0,26.0,2.736842105263158,1402.7279999999996,53.95107692307691,2.8947368421052637,18.0,1166.2099999999998,22.0,53.009545454545446,1.0544412962953489
506087,-0.74195576,0.09755411,-0.47444555,0.23766676,0.0156452839190703,7.460491152095232e-05,0.1047101449275362,0.0307971014492753,25.0,35.0,2.8,2365.545,67.587,2.76,22.0,2016.218,28.0,72.0077857142857,1.0578684903912887
506090,-0.4585803,0.7265147,-0.28464597,0.3088363,0.0161517912671343,0.0028421614394026,0.1134453781512605,0.2103174603174603,29.0,42.0,2.896551724137931,3780.381,90.00907142857143,2.7241379310344827,25.0,3281.948000000001,34.0,96.5278823529412,1.0747352428941022
506091,-0.81424916,-0.21255897,-0.33448127,0.3247955,0.0164163159261789,0.0700884863711349,0.101688951442646,0.2820197044334975,30.0,43.0,2.8666666666666667,3078.471,71.5923488372093,2.7333333333333334,26.0,2577.667,34.0,75.81373529411765,1.0533927332761397
604992,0.7522235,0.48388815,-0.22810008,-0.03950074,0.0002644917995786,0.0011179415800749,0.1638795986622073,0.1794871794871795,14.0,14.0,2.0,1993.486,142.39185714285716,3.0,14.0,1993.486,14.0,142.39185714285716,1.0841199751836674
